MSA,series_id,MSA_name
11500,LAUMT011150000000003,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
12220,LAUMT011222000000003,"Auburn-Opelika, AL Metropolitan Statistical Area"
13820,LAUMT011382000000003,"Birmingham-Hoover, AL Metropolitan Statistical Area"
19300,LAUMT011930000000003,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
19460,LAUMT011946000000003,"Decatur, AL Metropolitan Statistical Area"
20020,LAUMT012002000000003,"Dothan, AL Metropolitan Statistical Area"
22520,LAUMT012252000000003,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
23460,LAUMT012346000000003,"Gadsden, AL Metropolitan Statistical Area"
26620,LAUMT012662000000003,"Huntsville, AL Metropolitan Statistical Area"
33660,LAUMT013366000000003,"Mobile, AL Metropolitan Statistical Area"
33860,LAUMT013386000000003,"Montgomery, AL Metropolitan Statistical Area"
46220,LAUMT014622000000003,"Tuscaloosa, AL Metropolitan Statistical Area"
11260,LAUMT021126000000003,"Anchorage, AK Metropolitan Statistical Area"
21820,LAUMT022182000000003,"Fairbanks, AK Metropolitan Statistical Area"
22380,LAUMT042238000000003,"Flagstaff, AZ Metropolitan Statistical Area"
29420,LAUMT042942000000003,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area"
38060,LAUMT043806000000003,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
39140,LAUMT043914000000003,"Prescott, AZ Metropolitan Statistical Area"
43420,LAUMT044342000000003,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area"
46060,LAUMT044606000000003,"Tucson, AZ Metropolitan Statistical Area"
49740,LAUMT044974000000003,"Yuma, AZ Metropolitan Statistical Area"
22220,LAUMT052222000000003,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
22900,LAUMT052290000000003,"Fort Smith, AR-OK Metropolitan Statistical Area"
26300,LAUMT052630000000003,"Hot Springs, AR Metropolitan Statistical Area"
27860,LAUMT052786000000003,"Jonesboro, AR Metropolitan Statistical Area"
30780,LAUMT053078000000003,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
38220,LAUMT053822000000003,"Pine Bluff, AR Metropolitan Statistical Area"
12540,LAUMT061254000000003,"Bakersfield, CA Metropolitan Statistical Area"
17020,LAUMT061702000000003,"Chico, CA Metropolitan Statistical Area"
20940,LAUMT062094000000003,"El Centro, CA Metropolitan Statistical Area"
23420,LAUMT062342000000003,"Fresno, CA Metropolitan Statistical Area"
25260,LAUMT062526000000003,"Hanford-Corcoran, CA Metropolitan Statistical Area"
31080,LAUMT063108000000003,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
31460,LAUMT063146000000003,"Madera, CA Metropolitan Statistical Area"
32900,LAUMT063290000000003,"Merced, CA Metropolitan Statistical Area"
33700,LAUMT063370000000003,"Modesto, CA Metropolitan Statistical Area"
34900,LAUMT063490000000003,"Napa, CA Metropolitan Statistical Area"
37100,LAUMT063710000000003,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area"
39820,LAUMT063982000000003,"Redding, CA Metropolitan Statistical Area"
40140,LAUMT064014000000003,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
40900,LAUMT064090000000003,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area"
41500,LAUMT064150000000003,"Salinas, CA Metropolitan Statistical Area"
41740,LAUMT064174000000003,"San Diego-Carlsbad, CA Metropolitan Statistical Area"
41860,LAUMT064186000000003,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
41940,LAUMT064194000000003,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
42020,LAUMT064202000000003,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area"
42100,LAUMT064210000000003,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area"
42200,LAUMT064220000000003,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area"
42220,LAUMT064222000000003,"Santa Rosa, CA Metropolitan Statistical Area"
44700,LAUMT064470000000003,"Stockton-Lodi, CA Metropolitan Statistical Area"
46700,LAUMT064670000000003,"Vallejo-Fairfield, CA Metropolitan Statistical Area"
47300,LAUMT064730000000003,"Visalia-Porterville, CA Metropolitan Statistical Area"
49700,LAUMT064970000000003,"Yuba City, CA Metropolitan Statistical Area"
14500,LAUMT081450000000003,"Boulder, CO Metropolitan Statistical Area"
17820,LAUMT081782000000003,"Colorado Springs, CO Metropolitan Statistical Area"
19740,LAUMT081974000000003,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
22660,LAUMT082266000000003,"Fort Collins, CO Metropolitan Statistical Area"
24300,LAUMT082430000000003,"Grand Junction, CO Metropolitan Statistical Area"
24540,LAUMT082454000000003,"Greeley, CO Metropolitan Statistical Area"
39380,LAUMT083938000000003,"Pueblo, CO Metropolitan Statistical Area"
71950,LAUMT097195000000003,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
72850,LAUMT097285000000003,"Danbury, CT Metropolitan NECTA"
73450,LAUMT097345000000003,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
75700,LAUMT097570000000003,"New Haven, CT Metropolitan NECTA"
76450,LAUMT097645000000003,"Norwich-New London-Westerly, CT-RI Metropolitan NECTA"
78700,LAUMT097870000000003,"Waterbury, CT Metropolitan NECTA"
20100,LAUMT102010000000003,"Dover, DE Metropolitan Statistical Area"
41540,LAUMT104154000000003,"Salisbury, MD-DE Metropolitan Statistical Area"
47900,LAUMT114790000000003,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
15980,LAUMT121598000000003,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area"
18880,LAUMT121888000000003,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
19660,LAUMT121966000000003,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
23540,LAUMT122354000000003,"Gainesville, FL Metropolitan Statistical Area"
26140,LAUMT122614000000003,"Homosassa Springs, FL Metropolitan Statistical Area"
27260,LAUMT122726000000003,"Jacksonville, FL Metropolitan Statistical Area"
29460,LAUMT122946000000003,"Lakeland-Winter Haven, FL Metropolitan Statistical Area"
33100,LAUMT123310000000003,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
34940,LAUMT123494000000003,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area"
35840,LAUMT123584000000003,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
36100,LAUMT123610000000003,"Ocala, FL Metropolitan Statistical Area"
36740,LAUMT123674000000003,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
37340,LAUMT123734000000003,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area"
37460,LAUMT123746000000003,"Panama City, FL Metropolitan Statistical Area"
37860,LAUMT123786000000003,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
38940,LAUMT123894000000003,"Port St. Lucie, FL Metropolitan Statistical Area"
39460,LAUMT123946000000003,"Punta Gorda, FL Metropolitan Statistical Area"
42680,LAUMT124268000000003,"Sebastian-Vero Beach, FL Metropolitan Statistical Area"
42700,LAUMT124270000000003,"Sebring, FL Metropolitan Statistical Area"
45220,LAUMT124522000000003,"Tallahassee, FL Metropolitan Statistical Area"
45300,LAUMT124530000000003,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
45540,LAUMT124554000000003,"The Villages, FL Metropolitan Statistical Area"
10500,LAUMT131050000000003,"Albany, GA Metropolitan Statistical Area"
12020,LAUMT131202000000003,"Athens-Clarke County, GA Metropolitan Statistical Area"
12060,LAUMT131206000000003,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
12260,LAUMT131226000000003,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
15260,LAUMT131526000000003,"Brunswick, GA Metropolitan Statistical Area"
17980,LAUMT131798000000003,"Columbus, GA-AL Metropolitan Statistical Area"
19140,LAUMT131914000000003,"Dalton, GA Metropolitan Statistical Area"
23580,LAUMT132358000000003,"Gainesville, GA Metropolitan Statistical Area"
25980,LAUMT132598000000003,"Hinesville, GA Metropolitan Statistical Area"
31420,LAUMT133142000000003,"Macon-Bibb County, GA Metropolitan Statistical Area"
40660,LAUMT134066000000003,"Rome, GA Metropolitan Statistical Area"
42340,LAUMT134234000000003,"Savannah, GA Metropolitan Statistical Area"
46660,LAUMT134666000000003,"Valdosta, GA Metropolitan Statistical Area"
47580,LAUMT134758000000003,"Warner Robins, GA Metropolitan Statistical Area"
27980,LAUMT152798000000003,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area"
46520,LAUMT154652000000003,"Urban Honolulu, HI Metropolitan Statistical Area"
14260,LAUMT161426000000003,"Boise City, ID Metropolitan Statistical Area"
17660,LAUMT161766000000003,"Coeur d'Alene, ID Metropolitan Statistical Area"
26820,LAUMT162682000000003,"Idaho Falls, ID Metropolitan Statistical Area"
30300,LAUMT163030000000003,"Lewiston, ID-WA Metropolitan Statistical Area"
38540,LAUMT163854000000003,"Pocatello, ID Metropolitan Statistical Area"
14010,LAUMT171401000000003,"Bloomington, IL Metropolitan Statistical Area"
16060,LAUMT171606000000003,"Carbondale-Marion, IL Metropolitan Statistical Area"
16580,LAUMT171658000000003,"Champaign-Urbana, IL Metropolitan Statistical Area"
16980,LAUMT171698000000003,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
19180,LAUMT171918000000003,"Danville, IL Metropolitan Statistical Area"
19340,LAUMT171934000000003,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
19500,LAUMT171950000000003,"Decatur, IL Metropolitan Statistical Area"
28100,LAUMT172810000000003,"Kankakee, IL Metropolitan Statistical Area"
37900,LAUMT173790000000003,"Peoria, IL Metropolitan Statistical Area"
40420,LAUMT174042000000003,"Rockford, IL Metropolitan Statistical Area"
44100,LAUMT174410000000003,"Springfield, IL Metropolitan Statistical Area"
14020,LAUMT181402000000003,"Bloomington, IN Metropolitan Statistical Area"
18020,LAUMT181802000000003,"Columbus, IN Metropolitan Statistical Area"
21140,LAUMT182114000000003,"Elkhart-Goshen, IN Metropolitan Statistical Area"
21780,LAUMT182178000000003,"Evansville, IN-KY Metropolitan Statistical Area"
23060,LAUMT182306000000003,"Fort Wayne, IN Metropolitan Statistical Area"
26900,LAUMT182690000000003,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area"
29020,LAUMT182902000000003,"Kokomo, IN Metropolitan Statistical Area"
29200,LAUMT182920000000003,"Lafayette-West Lafayette, IN Metropolitan Statistical Area"
33140,LAUMT183314000000003,"Michigan City-La Porte, IN Metropolitan Statistical Area"
34620,LAUMT183462000000003,"Muncie, IN Metropolitan Statistical Area"
43780,LAUMT184378000000003,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area"
45460,LAUMT184546000000003,"Terre Haute, IN Metropolitan Statistical Area"
11180,LAUMT191118000000003,"Ames, IA Metropolitan Statistical Area"
16300,LAUMT191630000000003,"Cedar Rapids, IA Metropolitan Statistical Area"
19780,LAUMT191978000000003,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
20220,LAUMT192022000000003,"Dubuque, IA Metropolitan Statistical Area"
26980,LAUMT192698000000003,"Iowa City, IA Metropolitan Statistical Area"
43580,LAUMT194358000000003,"Sioux City, IA-NE-SD Metropolitan Statistical Area"
47940,LAUMT194794000000003,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
29940,LAUMT202994000000003,"Lawrence, KS Metropolitan Statistical Area"
31740,LAUMT203174000000003,"Manhattan, KS Metropolitan Statistical Area"
45820,LAUMT204582000000003,"Topeka, KS Metropolitan Statistical Area"
48620,LAUMT204862000000003,"Wichita, KS Metropolitan Statistical Area"
14540,LAUMT211454000000003,"Bowling Green, KY Metropolitan Statistical Area"
21060,LAUMT212106000000003,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
30460,LAUMT213046000000003,"Lexington-Fayette, KY Metropolitan Statistical Area"
31140,LAUMT213114000000003,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
36980,LAUMT213698000000003,"Owensboro, KY Metropolitan Statistical Area"
10780,LAUMT221078000000003,"Alexandria, LA Metropolitan Statistical Area"
12940,LAUMT221294000000003,"Baton Rouge, LA Metropolitan Statistical Area"
25220,LAUMT222522000000003,"Hammond, LA Metropolitan Statistical Area"
26380,LAUMT222638000000003,"Houma-Thibodaux, LA Metropolitan Statistical Area"
29180,LAUMT222918000000003,"Lafayette, LA Metropolitan Statistical Area"
29340,LAUMT222934000000003,"Lake Charles, LA Metropolitan Statistical Area"
33740,LAUMT223374000000003,"Monroe, LA Metropolitan Statistical Area"
35380,LAUMT223538000000003,"New Orleans-Metairie, LA Metropolitan Statistical Area"
43340,LAUMT224334000000003,"Shreveport-Bossier City, LA Metropolitan Statistical Area"
70750,LAUMT237075000000003,"Bangor, ME Metropolitan NECTA"
74650,LAUMT237465000000003,"Lewiston-Auburn, ME Metropolitan NECTA"
76750,LAUMT237675000000003,"Portland-South Portland, ME Metropolitan NECTA"
12580,LAUMT241258000000003,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
15680,LAUMT241568000000003,"California-Lexington Park, MD Metropolitan Statistical Area"
19060,LAUMT241906000000003,"Cumberland, MD-WV Metropolitan Statistical Area"
25180,LAUMT242518000000003,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area"
70900,LAUMT257090000000003,"Barnstable Town, MA Metropolitan NECTA"
71650,LAUMT257165000000003,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA"
74500,LAUMT257450000000003,"Leominster-Gardner, MA Metropolitan NECTA"
75550,LAUMT257555000000003,"New Bedford, MA Metropolitan NECTA"
76600,LAUMT257660000000003,"Pittsfield, MA Metropolitan NECTA"
78100,LAUMT257810000000003,"Springfield, MA-CT Metropolitan NECTA"
79600,LAUMT257960000000003,"Worcester, MA-CT Metropolitan NECTA"
11460,LAUMT261146000000003,"Ann Arbor, MI Metropolitan Statistical Area"
12980,LAUMT261298000000003,"Battle Creek, MI Metropolitan Statistical Area"
13020,LAUMT261302000000003,"Bay City, MI Metropolitan Statistical Area"
19820,LAUMT261982000000003,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area"
22420,LAUMT262242000000003,"Flint, MI Metropolitan Statistical Area"
24340,LAUMT262434000000003,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area"
27100,LAUMT262710000000003,"Jackson, MI Metropolitan Statistical Area"
28020,LAUMT262802000000003,"Kalamazoo-Portage, MI Metropolitan Statistical Area"
29620,LAUMT262962000000003,"Lansing-East Lansing, MI Metropolitan Statistical Area"
33220,LAUMT263322000000003,"Midland, MI Metropolitan Statistical Area"
33780,LAUMT263378000000003,"Monroe, MI Metropolitan Statistical Area"
34740,LAUMT263474000000003,"Muskegon, MI Metropolitan Statistical Area"
35660,LAUMT263566000000003,"Niles-Benton Harbor, MI Metropolitan Statistical Area"
40980,LAUMT264098000000003,"Saginaw, MI Metropolitan Statistical Area"
20260,LAUMT272026000000003,"Duluth, MN-WI Metropolitan Statistical Area"
31860,LAUMT273186000000003,"Mankato-North Mankato, MN Metropolitan Statistical Area"
33460,LAUMT273346000000003,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area"
40340,LAUMT274034000000003,"Rochester, MN Metropolitan Statistical Area"
41060,LAUMT274106000000003,"St. Cloud, MN Metropolitan Statistical Area"
25060,LAUMT282506000000003,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area"
25620,LAUMT282562000000003,"Hattiesburg, MS Metropolitan Statistical Area"
27140,LAUMT282714000000003,"Jackson, MS Metropolitan Statistical Area"
